# Time (s), Energy (keV), SunX (arcsec), SunY (arcsec)
3.376033594699674249e+08,1.959999999999999964e+00,-8.696100000000000136e+02,-1.783499999999999943e+02
3.376033596486143470e+08,2.160000000000000142e+00,-9.557100000000000364e+02,-2.865899999999999750e+02
3.376033596729665995e+08,2.040000000000000036e+00,-1.228769999999999982e+03,-7.503000000000000114e+01
3.376033598558213711e+08,1.880000000000000115e+00,-9.557100000000000364e+02,-4.514099999999999682e+02
3.376033598917502165e+08,8.295999999999999375e+01,-1.014750000000000000e+03,4.194300000000000068e+02
3.376033599108507037e+08,2.080000000000000071e+00,-9.507899999999999636e+02,3.161100000000000136e+02
3.376033601350792050e+08,2.320000000000000284e+00,-8.179499999999999318e+02,-3.321000000000000085e+01
3.376033606498806477e+08,1.680000000000000160e+00,-1.125450000000000045e+03,-2.337000000000000099e+01
3.376033607037445903e+08,1.600000000000000089e+00,-9.581699999999999591e+02,-2.828999999999999915e+01
3.376033608522655964e+08,1.640000000000000124e+00,-7.244700000000000273e+02,-2.337000000000000099e+01
3.376033608583800197e+08,2.320000000000000284e+00,-6.186899999999999409e+02,-1.365300000000000011e+02
3.376033609507715106e+08,1.600000000000000089e+00,-9.434099999999999682e+02,2.742900000000000205e+02
3.376033610413650274e+08,1.760000000000000009e+00,-6.900299999999999727e+02,-2.300099999999999909e+02
3.376033611272135377e+08,1.600000000000000089e+00,-8.204099999999999682e+02,-1.242300000000000040e+02
3.376033611477821469e+08,2.280000000000000249e+00,-9.163500000000000227e+02,3.776100000000000136e+02
3.376033612079622149e+08,1.760000000000000009e+00,-5.227500000000000000e+02,-1.291500000000000057e+02
3.376033616120909452e+08,2.040000000000000036e+00,-7.269299999999999500e+02,1.439099999999999966e+02
3.376033616207183003e+08,2.280000000000000249e+00,-5.670299999999999727e+02,-2.127899999999999920e+02
3.376033617393565774e+08,5.160000000000000142e+00,-5.498099999999999454e+02,-6.026999999999999602e+01
3.376033620424902439e+08,2.000000000000000000e+00,-5.350499999999999545e+02,-1.439099999999999966e+02
3.376033620725466609e+08,1.760000000000000009e+00,-7.146299999999999955e+02,5.042999999999999972e+01
3.376033621333376765e+08,1.600000000000000089e+00,-7.908899999999999864e+02,-3.308700000000000045e+02
3.376033624886317253e+08,1.600000000000000089e+00,-9.680099999999999909e+02,2.816700000000000159e+02
3.376033625021582246e+08,4.212000000000000455e+01,-8.327100000000000364e+02,3.407099999999999795e+02
3.376033625603179336e+08,2.080000000000000071e+00,-7.884299999999999500e+02,-2.250900000000000034e+02
3.376033626497243643e+08,2.040000000000000036e+00,-1.268129999999999882e+03,-2.275499999999999829e+02
3.376033627779611349e+08,1.800000000000000044e+00,-1.056569999999999936e+03,2.595299999999999727e+02
3.376033629456651211e+08,1.880000000000000115e+00,-1.263210000000000036e+03,-8.240999999999999659e+01
3.376033629559353590e+08,1.616000000000000014e+01,-1.127910000000000082e+03,-4.218899999999999864e+02
3.376033629709982872e+08,2.200000000000000178e+00,-8.671499999999999773e+02,2.373899999999999864e+02
3.376033630834472775e+08,2.000000000000000000e+00,-8.130299999999999727e+02,2.324699999999999989e+02
3.376033635796571374e+08,1.959999999999999964e+00,-5.965499999999999545e+02,-1.229999999999999982e+00
3.376033637622168064e+08,1.600000000000000089e+00,-7.023300000000000409e+02,-9.470999999999999375e+01
3.376033638503743410e+08,1.760000000000000009e+00,-1.413269999999999982e+03,5.781000000000000227e+01
3.376033638651747108e+08,2.000000000000000000e+00,-9.901499999999999773e+02,-3.689999999999999947e+00
3.376033640216124058e+08,2.320000000000000284e+00,-7.170900000000000318e+02,-1.512899999999999920e+02
3.376033645393543839e+08,1.920000000000000151e+00,-9.926100000000000136e+02,-3.062699999999999818e+02
3.376033645688866973e+08,2.040000000000000036e+00,-1.091009999999999991e+03,2.841299999999999955e+02
3.376033649075477719e+08,7.131999999999999318e+01,-8.376299999999999955e+02,3.284099999999999682e+02
3.376033650481597185e+08,2.320000000000000284e+00,-4.858499999999999659e+02,-1.537500000000000000e+02
3.376033650626562238e+08,1.640000000000000124e+00,-5.867100000000000364e+02,-7.748999999999999488e+01
3.376033653004274964e+08,1.564000000000000057e+01,-1.172190000000000055e+03,3.136499999999999773e+02
3.376033655938053131e+08,1.232000000000000028e+01,-9.581699999999999591e+02,4.415699999999999932e+02
3.376033657312033176e+08,1.880000000000000115e+00,-1.154970000000000027e+03,-7.748999999999999488e+01
3.376033661229709387e+08,1.760000000000000009e+00,-9.261899999999999409e+02,7.748999999999999488e+01
3.376033663464279771e+08,2.976000000000000156e+01,-1.022129999999999995e+03,4.120500000000000114e+02
3.376033664499695897e+08,2.720000000000000195e+00,-7.810499999999999545e+02,-2.828999999999999915e+01
3.376033664864659309e+08,1.959999999999999964e+00,-9.803099999999999454e+02,-3.111899999999999977e+02
3.376033666065440774e+08,1.920000000000000151e+00,-8.081100000000000136e+02,-1.512899999999999920e+02
3.376033667627213597e+08,1.640000000000000124e+00,-1.031970000000000027e+03,2.496899999999999977e+02
3.376033668644726276e+08,1.680000000000000160e+00,-6.457500000000000000e+02,-2.373899999999999864e+02
3.376033669443684816e+08,2.240000000000000213e+00,-9.311100000000000136e+02,1.758899999999999864e+02
3.376033672323405147e+08,1.645600000000000023e+02,-9.163500000000000227e+02,-4.120500000000000114e+02
3.376033672917436957e+08,1.959999999999999964e+00,-5.645699999999999363e+02,-8.487000000000000455e+01
3.376033677385535836e+08,1.800000000000000044e+00,-1.145129999999999882e+03,-2.693700000000000045e+02
3.376033678274739385e+08,2.520000000000000018e+00,-9.188099999999999454e+02,-4.489499999999999886e+02
3.376033678400249481e+08,2.080000000000000071e+00,-8.105699999999999363e+02,2.546099999999999852e+02
3.376033679046332240e+08,8.756000000000000227e+01,-7.982699999999999818e+02,-1.291500000000000057e+02
3.376033680139876008e+08,6.176000000000000512e+01,-8.425499999999999545e+02,2.201699999999999875e+02
3.376033681650054455e+08,1.720000000000000195e+00,-8.622300000000000182e+02,3.407099999999999795e+02
3.376033685051421523e+08,2.839999999999999858e+00,-8.991299999999999955e+02,-5.042999999999999972e+01
3.376033685213801861e+08,1.577199999999999989e+02,-1.076250000000000000e+03,1.512899999999999920e+02
3.376033687062858343e+08,2.959999999999999964e+00,-1.408349999999999909e+03,1.143900000000000006e+02
3.376033688015299439e+08,2.000000000000000000e+00,-7.490699999999999363e+02,-1.857299999999999898e+02
3.376033689548600316e+08,1.959999999999999964e+00,-8.474700000000000273e+02,-1.045499999999999972e+02
3.376033692846603990e+08,2.600000000000000089e+00,-8.819099999999999682e+02,8.978999999999999204e+01
3.376033694925108552e+08,2.000000000000000000e+00,-9.114299999999999500e+02,-3.505500000000000114e+02
3.376033694989431500e+08,1.760000000000000009e+00,-9.458700000000000045e+02,2.570699999999999932e+02
3.376033695461599231e+08,2.879999999999999893e+00,-5.448899999999999864e+02,-4.304999999999999716e+01
3.376033696617307067e+08,2.120000000000000107e+00,-5.375099999999999909e+02,-1.562100000000000080e+02
3.376033697282291651e+08,1.800000000000000044e+00,-1.063950000000000045e+03,-1.107000000000000028e+01
3.376033698909385800e+08,2.160000000000000142e+00,-8.031899999999999409e+02,-2.300099999999999909e+02
3.376033701618880033e+08,1.345600000000000023e+02,-1.332089999999999918e+03,-2.324699999999999989e+02
3.376033704768663049e+08,2.120000000000000107e+00,-1.130369999999999891e+03,-4.883100000000000023e+02
3.376033705384418368e+08,1.640000000000000124e+00,-1.118069999999999936e+03,-1.562100000000000080e+02
3.376033706233420372e+08,1.959999999999999964e+00,-9.114299999999999500e+02,-9.717000000000000171e+01
3.376033707595312595e+08,2.879999999999999893e+00,-8.105699999999999363e+02,-3.628500000000000227e+02
3.376033708790581822e+08,2.912000000000000099e+01,-1.216470000000000027e+03,2.275499999999999829e+02
3.376033713588270545e+08,1.959999999999999964e+00,-7.958099999999999454e+02,-7.256999999999999318e+01
3.376033721343522072e+08,2.360000000000000320e+00,-9.999900000000000091e+02,2.201699999999999875e+02
3.376033721515245438e+08,1.600000000000000089e+00,-9.999900000000000091e+02,-1.586699999999999875e+02
3.376033724752615094e+08,3.624000000000000199e+01,-1.182029999999999973e+03,-3.321000000000000085e+01
3.376033728686089516e+08,2.040000000000000036e+00,-9.532500000000000000e+02,-8.240999999999999659e+01
3.376033729043152928e+08,2.000000000000000000e+00,-7.466100000000000136e+02,-1.020900000000000034e+02
3.376033729952679873e+08,2.040000000000000036e+00,-1.378829999999999927e+03,-1.758899999999999864e+02
3.376033731612141728e+08,2.160000000000000142e+00,-7.958099999999999454e+02,-3.136499999999999773e+02
3.376033732432508469e+08,2.360000000000000320e+00,-6.629700000000000273e+02,-1.832700000000000102e+02
3.376033732875303626e+08,1.872000000000000242e+01,-1.110690000000000055e+03,2.152500000000000000e+02
3.376033733388758898e+08,1.959999999999999964e+00,-8.622300000000000182e+02,1.352999999999999936e+01
3.376033735485698581e+08,2.280000000000000249e+00,-7.859700000000000273e+02,-2.472299999999999898e+02
3.376033735545182228e+08,2.040000000000000036e+00,-8.819099999999999682e+02,-3.567000000000000171e+01
3.376033736225629449e+08,8.775999999999999091e+01,-9.261899999999999409e+02,4.514099999999999682e+02
3.376033736784179807e+08,1.959999999999999964e+00,-9.581699999999999591e+02,-1.193100000000000023e+02
3.376033736938281059e+08,1.640000000000000124e+00,-7.589099999999999682e+02,3.321000000000000085e+01
3.376033737001269460e+08,2.120000000000000107e+00,-9.237300000000000182e+02,3.874499999999999886e+02
3.376033739628656507e+08,2.040000000000000036e+00,-6.162300000000000182e+02,-8.240999999999999659e+01
3.376033740927615166e+08,1.680000000000000160e+00,-1.115609999999999900e+03,2.582999999999999829e+01
3.376033741735449433e+08,1.600000000000000089e+00,-1.277970000000000027e+03,-1.586699999999999875e+02
3.376033742241786122e+08,1.920000000000000151e+00,-9.261899999999999409e+02,2.742900000000000205e+02
3.376033744024088383e+08,2.120000000000000107e+00,-1.041809999999999945e+03,5.781000000000000227e+01
3.376033744718402624e+08,1.959999999999999964e+00,-7.761299999999999955e+02,-2.828999999999999915e+01
3.376033746918858290e+08,1.680000000000000160e+00,-7.589099999999999682e+02,-2.004900000000000091e+02
3.376033750869107842e+08,8.919999999999999929e+00,-6.605099999999999909e+02,-2.004900000000000091e+02
3.376033750978949666e+08,2.000000000000000000e+00,-5.571899999999999409e+02,-1.562100000000000080e+02
3.376033751585221291e+08,2.799999999999999822e+00,-6.851100000000000136e+02,-3.813000000000000256e+01
3.376033751805425286e+08,2.120000000000000107e+00,-1.268129999999999882e+03,-8.609999999999999432e+00
3.376033751919162273e+08,1.047999999999999972e+02,-1.012289999999999964e+03,-2.669099999999999682e+02
3.376033752058084011e+08,2.759999999999999787e+00,-9.384900000000000091e+02,-1.217699999999999960e+02
3.376033755109092593e+08,2.360000000000000320e+00,-8.450099999999999909e+02,-2.496899999999999977e+02
3.376033757288216352e+08,1.600000000000000089e+00,-8.597699999999999818e+02,-1.217699999999999960e+02
3.376033758489767909e+08,3.416000000000000369e+01,-9.975299999999999727e+02,-2.103299999999999841e+02
