# Time (s), Energy (keV), SunX (arcsec), SunY (arcsec)
3.376033595876573324e+08,1.640000000000000124e+00,-8.991299999999999955e+02,-5.781000000000000227e+01
3.376033596081586480e+08,3.080000000000000071e+00,-1.295190000000000055e+03,2.546099999999999852e+02
3.376033596527604461e+08,2.000000000000000000e+00,-5.547300000000000182e+02,-1.562100000000000080e+02
3.376033597123546004e+08,2.600000000000000089e+00,-6.777300000000000182e+02,-7.010999999999999943e+01
3.376033597277821302e+08,2.120000000000000107e+00,-9.507899999999999636e+02,1.414499999999999886e+02
3.376033597845312357e+08,2.360000000000000320e+00,-8.450099999999999909e+02,6.765000000000000568e+01
3.376033598512955904e+08,1.720000000000000195e+00,-6.826499999999999773e+02,9.717000000000000171e+01
3.376033599071083069e+08,3.247999999999999687e+01,-1.068869999999999891e+03,-4.243499999999999659e+02
3.376033599108767509e+08,2.240000000000000213e+00,-9.999900000000000091e+02,1.611299999999999955e+02
3.376033602240581512e+08,1.959999999999999964e+00,-6.703500000000000227e+02,-1.808100000000000023e+02
3.376033602530435920e+08,2.240000000000000213e+00,-8.031899999999999409e+02,2.250900000000000034e+02
3.376033604616601467e+08,2.160000000000000142e+00,-9.040499999999999545e+02,1.365300000000000011e+02
3.376033606735503674e+08,1.920000000000000151e+00,-1.381289999999999964e+03,1.881899999999999977e+02
3.376033607895920277e+08,1.600000000000000089e+00,-1.469849999999999909e+03,2.091000000000000014e+01
3.376033610129242539e+08,1.959999999999999964e+00,-8.696100000000000136e+02,-1.266899999999999977e+02
3.376033611977734566e+08,2.040000000000000036e+00,-1.398509999999999991e+03,-9.962999999999999545e+01
3.376033612614008188e+08,1.840000000000000080e+00,-7.662899999999999636e+02,-2.226299999999999955e+02
3.376033614773383141e+08,1.760000000000000009e+00,-9.286499999999999773e+02,2.275499999999999829e+02
3.376033615044498444e+08,1.880000000000000115e+00,-7.884299999999999500e+02,-2.669099999999999682e+02
3.376033615249902606e+08,1.920000000000000151e+00,-8.376299999999999955e+02,-2.373899999999999864e+02
3.376033615587999225e+08,6.520000000000000284e+01,-5.719500000000000455e+02,-1.758899999999999864e+02
3.376033616567990184e+08,1.640000000000000124e+00,-9.901499999999999773e+02,4.661700000000000159e+02
3.376033618640277982e+08,1.880000000000000115e+00,-7.958099999999999454e+02,1.758899999999999864e+02
3.376033619142979383e+08,8.228000000000000114e+01,-6.383700000000000045e+02,2.828999999999999915e+01
3.376033620258647799e+08,1.720000000000000195e+00,-1.039349999999999909e+03,-7.748999999999999488e+01
3.376033621200661659e+08,1.900000000000000355e+01,-5.940900000000000318e+02,-1.045499999999999972e+02
3.376033621635362506e+08,1.920000000000000151e+00,-9.261899999999999409e+02,8.609999999999999432e+00
3.376033622702180743e+08,2.400000000000000355e+00,-1.396049999999999955e+03,1.070100000000000051e+02
3.376033624233680367e+08,2.080000000000000071e+00,-7.195499999999999545e+02,-3.813000000000000256e+01
3.376033627921451926e+08,2.360000000000000320e+00,-8.327100000000000364e+02,2.004900000000000091e+02
3.376033628004145026e+08,1.183999999999999986e+01,-1.182029999999999973e+03,2.792099999999999795e+02
3.376033629458235502e+08,1.880000000000000115e+00,-1.130369999999999891e+03,3.899099999999999682e+02
3.376033631096299887e+08,2.040000000000000036e+00,-8.228700000000000045e+02,-9.470999999999999375e+01
3.376033632008105516e+08,2.060000000000000142e+01,-1.093470000000000027e+03,-2.078700000000000045e+02
3.376033633553689122e+08,8.287999999999999545e+01,-9.163500000000000227e+02,-6.026999999999999602e+01
3.376033633999196887e+08,2.400000000000000355e+00,-8.302500000000000000e+02,2.447700000000000102e+02
3.376033634272645116e+08,1.600000000000000089e+00,-1.383750000000000000e+03,2.103299999999999841e+02
3.376033636027267575e+08,1.640000000000000124e+00,-9.999900000000000091e+02,-4.304999999999999716e+01
3.376033638293836713e+08,1.720000000000000195e+00,-9.680099999999999909e+02,-1.193100000000000023e+02
3.376033638906760216e+08,2.160000000000000142e+00,-9.729299999999999500e+02,8.732999999999999829e+01
3.376033639067903757e+08,2.640000000000000124e+00,-9.089700000000000273e+02,-3.013500000000000227e+02
3.376033639205523133e+08,1.760000000000000009e+00,-1.533809999999999945e+03,-5.535000000000000142e+01
3.376033640902398229e+08,2.080000000000000071e+00,-1.430490000000000009e+03,1.193100000000000023e+02
3.376033641034114361e+08,2.240000000000000213e+00,-8.548500000000000227e+02,2.349300000000000068e+02
3.376033644170225859e+08,1.720000000000000195e+00,-9.680099999999999909e+02,-1.635900000000000034e+02
3.376033644316612482e+08,1.840000000000000080e+00,-5.916299999999999955e+02,-1.217699999999999960e+02
3.376033645400683880e+08,2.080000000000000071e+00,-7.884299999999999500e+02,-7.256999999999999318e+01
3.376033646883952022e+08,3.239999999999999858e+01,-1.373910000000000082e+03,-2.644499999999999886e+02
3.376033648570334315e+08,1.680000000000000160e+00,-9.434099999999999682e+02,2.349300000000000068e+02
3.376033649716938138e+08,2.320000000000000284e+00,-7.835099999999999909e+02,-2.496899999999999977e+02
3.376033650740223527e+08,1.920000000000000151e+00,-1.575629999999999882e+03,5.042999999999999972e+01
3.376033651705403924e+08,2.360000000000000320e+00,-1.277970000000000027e+03,5.535000000000000142e+01
3.376033653041666746e+08,8.820000000000000284e+01,-1.263210000000000036e+03,-1.537500000000000000e+02
3.376033653718511462e+08,2.240000000000000213e+00,-6.777300000000000182e+02,-1.980300000000000011e+02
3.376033654423513412e+08,1.760000000000000009e+00,-1.120529999999999973e+03,-4.550999999999999801e+01
3.376033654755252004e+08,2.200000000000000178e+00,-1.445250000000000000e+03,1.537500000000000000e+02
3.376033655108637214e+08,2.080000000000000071e+00,-1.467389999999999873e+03,-1.439099999999999966e+02
3.376033655285080075e+08,1.600000000000000089e+00,-1.022129999999999995e+03,-9.717000000000000171e+01
3.376033655501443148e+08,1.600000000000000089e+00,-6.334500000000000455e+02,-1.340699999999999932e+02
3.376033655670779347e+08,1.033999999999999915e+02,-6.728099999999999454e+02,-2.337000000000000099e+01
3.376033655766330361e+08,1.840000000000000080e+00,-8.105699999999999363e+02,-7.748999999999999488e+01
3.376033656747829914e+08,3.040000000000000036e+00,-8.253300000000000409e+02,2.349300000000000068e+02
3.376033657491796613e+08,1.640000000000000124e+00,-6.186899999999999409e+02,-1.599000000000000021e+01
3.376033657686577439e+08,2.320000000000000284e+00,-9.630900000000000318e+02,-1.832700000000000102e+02
3.376033657957899570e+08,1.600000000000000089e+00,-1.285349999999999909e+03,-3.813000000000000256e+01
3.376033660310058594e+08,1.760000000000000009e+00,-1.290269999999999982e+03,-1.844999999999999929e+01
3.376033660676410794e+08,1.600000000000000089e+00,-7.416899999999999409e+02,8.487000000000000455e+01
3.376033663231488466e+08,2.560000000000000053e+00,-1.285349999999999909e+03,2.029499999999999886e+02
3.376033664624859095e+08,1.760000000000000009e+00,-9.852300000000000182e+02,1.931099999999999852e+02
3.376033664753081799e+08,2.439999999999999947e+00,-1.327170000000000073e+03,2.127899999999999920e+02
3.376033665787836313e+08,1.920000000000000151e+00,-8.007300000000000182e+02,-1.660500000000000114e+02
3.376033667894596457e+08,2.879999999999999893e+00,-7.244700000000000273e+02,-1.537500000000000000e+02
3.376033670759950280e+08,1.640000000000000124e+00,-9.778500000000000227e+02,1.045499999999999972e+02
3.376033671675868034e+08,1.640000000000000124e+00,-7.195499999999999545e+02,1.020900000000000034e+02
3.376033672232487202e+08,1.600000000000000089e+00,-5.867100000000000364e+02,-2.828999999999999915e+01
3.376033673573328853e+08,1.800000000000000044e+00,-1.346849999999999909e+03,-1.783499999999999943e+02
3.376033674594324827e+08,1.840000000000000080e+00,-9.114299999999999500e+02,-2.841299999999999955e+02
3.376033676019531488e+08,1.920000000000000151e+00,-9.065099999999999909e+02,2.890500000000000114e+02
3.376033676143207550e+08,1.720000000000000195e+00,-1.122990000000000009e+03,2.275499999999999829e+02
3.376033677049413919e+08,1.640000000000000124e+00,-8.548500000000000227e+02,-4.796999999999999886e+01
3.376033677226822972e+08,1.920000000000000151e+00,-1.162349999999999909e+03,2.078700000000000045e+02
3.376033677740266919e+08,1.959999999999999964e+00,-1.268129999999999882e+03,-1.389900000000000091e+02
3.376033680777094364e+08,1.880000000000000115e+00,-7.269299999999999500e+02,1.119299999999999926e+02
3.376033681131325960e+08,1.600000000000000089e+00,-1.012289999999999964e+03,1.352999999999999936e+01
3.376033682022514939e+08,2.200000000000000178e+00,-7.047899999999999636e+02,1.844999999999999929e+01
3.376033682216015458e+08,1.600000000000000089e+00,-8.745299999999999727e+02,2.152500000000000000e+02
3.376033683915396929e+08,3.000000000000000000e+00,-6.555900000000000318e+02,1.107000000000000028e+01
3.376033686789475083e+08,2.120000000000000107e+00,-1.263210000000000036e+03,2.841299999999999955e+02
3.376033687312879562e+08,2.080000000000000071e+00,-6.629700000000000273e+02,-1.045499999999999972e+02
3.376033688090657592e+08,1.920000000000000151e+00,-1.364069999999999936e+03,1.070100000000000051e+02
3.376033688603830338e+08,1.720000000000000195e+00,-9.040499999999999545e+02,-1.291500000000000057e+02
3.376033689355458021e+08,2.040000000000000036e+00,-1.575629999999999882e+03,1.352999999999999936e+01
3.376033689560210705e+08,1.760000000000000009e+00,-1.076250000000000000e+03,-3.825299999999999727e+02
3.376033690370724797e+08,1.595600000000000023e+02,-1.086089999999999918e+03,4.268100000000000023e+02
3.376033691165342927e+08,1.959999999999999964e+00,-9.409499999999999318e+02,7.256999999999999318e+01
3.376033692638607025e+08,3.992000000000000171e+01,-1.400970000000000027e+03,1.635900000000000034e+02
3.376033694968413711e+08,1.680000000000000160e+00,-9.803099999999999454e+02,1.352999999999999936e+01
3.376033695126909614e+08,1.040000000000000000e+02,-9.975299999999999727e+02,3.111899999999999977e+02
3.376033696554307938e+08,2.040000000000000036e+00,-1.349309999999999945e+03,2.373899999999999864e+02
3.376033696965212822e+08,1.760000000000000009e+00,-7.884299999999999500e+02,-2.337000000000000099e+01
3.376033697195659876e+08,1.840000000000000080e+00,-8.745299999999999727e+02,-1.020900000000000034e+02
3.376033697817285061e+08,2.080000000000000071e+00,-9.926100000000000136e+02,2.619900000000000091e+02
3.376033698337000608e+08,9.443999999999999773e+01,-9.557100000000000364e+02,2.349300000000000068e+02
3.376033698976085186e+08,2.200000000000000178e+00,-9.532500000000000000e+02,-1.266899999999999977e+02
3.376033700293142200e+08,1.203199999999999932e+02,-1.349309999999999945e+03,8.609999999999999432e+00
3.376033700751985908e+08,4.679999999999999716e+00,-9.778500000000000227e+02,-1.709699999999999989e+02
3.376033701831564903e+08,2.479999999999999982e+00,-1.341930000000000064e+03,-8.487000000000000455e+01
3.376033702072547674e+08,2.160000000000000142e+00,-1.250910000000000082e+03,-2.373899999999999864e+02
3.376033702618478537e+08,1.880000000000000115e+00,-8.179499999999999318e+02,-9.717000000000000171e+01
3.376033703871755600e+08,2.400000000000000355e+00,-9.606299999999999955e+02,-1.168499999999999943e+02
3.376033705986490846e+08,1.760000000000000009e+00,-1.081170000000000073e+03,-1.107000000000000028e+01
3.376033707161349654e+08,1.760000000000000009e+00,-9.704700000000000273e+02,-2.582999999999999829e+01
3.376033709997178912e+08,8.919999999999999929e+00,-1.332089999999999918e+03,-1.832700000000000102e+02
3.376033710654047132e+08,2.200000000000000178e+00,-8.056499999999999773e+02,-3.087300000000000182e+02
3.376033710814518332e+08,1.272000000000000028e+02,-9.803099999999999454e+02,2.398499999999999943e+02
3.376033711699012518e+08,8.864000000000000057e+01,-9.188099999999999454e+02,1.266899999999999977e+02
3.376033712291558385e+08,2.040000000000000036e+00,-1.305029999999999973e+03,-2.964300000000000068e+02
